"Archivo";"simTicks";"simInsts";"numCycles";"dcache.overallHits";"dcache.overallMisses";"dcache.writebacks";"dcache.replacements";"numLoadInsts";"numStoreInsts";"numIdleCycles";"numBusyCycles";"icache.overallHits";"icache.overallMisses";"l2.overallHits::cpu.inst";"l2.overallHits::cpu.data";"l2.overallMisses::cpu.inst";"l2.overallMisses::cpu.data";"totalEnergy";"averagePower"
"stats_128.txt";"312719000";"330041";"625439";"156503";"6166";"3812";"5910";"120282";"42396";"0.002000";"625438.998000";"421856";"2001";"725";"1326";"1276";"4840";"0";"120084480"
"stats_16.txt";"93703000";"87337";"187407";"29086";"3999";"1750";"3743";"23178";"9916";"0.002000";"187406.998000";"114416";"2001";"738";"1208";"1263";"2791";"35982240";"384.003074"
"stats_32.txt";"104255000";"98969";"208511";"35202";"4107";"1821";"3851";"27834";"11484";"0.002000";"208510.998000";"129154";"1999";"1947";"735";"4159";"1264";"0";"0"
"stats_64.txt";"146095000";"145273";"292191";"59505";"4540";"2189";"4284";"46362";"17692";"0.002000";"292190.998000";"187808";"2001";"1985";"738";"4556";"1263";"0";"0"
